Date,Close,%Change,,,,,
2014-03-03,1845.72998,-0.7378510507,,0.0021699944,0.4948083002,0.2782688733,-0.7378510507
2014-03-04,1873.910034,1.5267701292,,0.4948083002,0.2782688733,-0.7378510507,1.5267701292
2014-03-05,1873.810059,-0.0053351014,,0.2782688733,-0.7378510507,1.5267701292,-0.0053351014
2014-03-06,1877.030029,0.1718407895,,-0.7378510507,1.5267701292,-0.0053351014,0.1718407895
2014-03-07,1878.040039,0.053808942,,1.5267701292,-0.0053351014,0.1718407895,0.053808942
2014-03-10,1877.170044,-0.0463246247,,-0.0053351014,0.1718407895,0.053808942,-0.0463246247
2014-03-11,1867.630005,-0.5082138952,,0.1718407895,0.053808942,-0.0463246247,-0.5082138952
2014-03-12,1868.199951,0.0305170724,,0.053808942,-0.0463246247,-0.5082138952,0.0305170724
2014-03-13,1846.339966,-1.1701094943,,-0.0463246247,-0.5082138952,0.0305170724,-1.1701094943
2014-03-14,1841.130005,-0.2821777731,,-0.5082138952,0.0305170724,-1.1701094943,-0.2821777731
2014-03-17,1858.829956,0.9613634535,,0.0305170724,-1.1701094943,-0.2821777731,0.9613634535
2014-03-18,1872.25,0.7219618963,,-1.1701094943,-0.2821777731,0.9613634535,0.7219618963
2014-03-19,1860.77002,-0.6131649085,,-0.2821777731,0.9613634535,0.7219618963,-0.6131649085
2014-03-20,1872.01001,0.6040504672,,0.9613634535,0.7219618963,-0.6131649085,0.6040504672
2014-03-21,1866.52002,-0.2932671284,,0.7219618963,-0.6131649085,0.6040504672,-0.2932671284
2014-03-24,1857.439941,-0.4864710211,,-0.6131649085,0.6040504672,-0.2932671284,-0.4864710211
2014-03-25,1865.619995,0.4403939971,,0.6040504672,-0.2932671284,-0.4864710211,0.4403939971
2014-03-26,1852.560059,-0.7000319484,,-0.2932671284,-0.4864710211,0.4403939971,-0.7000319484
2014-03-27,1849.040039,-0.1900084147,,-0.4864710211,0.4403939971,-0.7000319484,-0.1900084147
2014-03-28,1857.619995,0.4640221855,,0.4403939971,-0.7000319484,-0.1900084147,0.4640221855
2014-03-31,1872.339966,0.7924102367,,-0.7000319484,-0.1900084147,0.4640221855,0.7924102367
2014-04-01,1885.52002,0.703934875,,-0.1900084147,0.4640221855,0.7924102367,0.703934875
2014-04-02,1890.900024,0.2853326373,,0.4640221855,0.7924102367,0.703934875,0.2853326373
2014-04-03,1888.77002,-0.1126449824,,0.7924102367,0.703934875,0.2853326373,-0.1126449824
2014-04-04,1865.089966,-1.2537288155,,0.703934875,0.2853326373,-0.1126449824,-1.2537288155
